run_uuid,Model,Dataset,ARI,Parameters,Time (s),NMI,Silhouette,DBI
0d6897db187f4f01b38aa596a2b52e67,HDBSCAN,garber-2001,0.026032157725413237,$C_{\text{min}}=2$,0.050492869690060616,0.08494778428682614,0.10964522827032412,2.994094809639632
0e7caa54fde54be4ab3a27d60dcd17c9,DBSCAN,coil-20,0.49115773363071924,$\epsilon=22.78$; $n_{\text{min}}=5$,0.05455965641885996,0.8088593459014393,0.15120559444463888,2.3749296848861468
13276f2d89584365a2602928b641cd80,SC-SRGF,alizadeh-2000-v2,0.5991324149457592,$C=4$; $r=0.76$; $m=21$,0.14191321190446615,0.75675469122741,0.08273361166187901,2.3809757457768717
15e01a2c44d74a148f1041753dc0f494,Proclus,garber-2001,0.0462624118516485,$d=13$; $C=15$,0.15201686136424541,0.24624621761278892,-0.11233463217161044,2.686993721766619
1644bc093f1e44e5954ecd84c757949d,Complete Agglomerative,alizadeh-2000-v2,0.5390591053128014,$C=6$,0.009285501670092344,0.6426016946003783,0.08410801450389481,1.7575814448259564
18e6a727f810431e98731d79414ea07a,Single Agglomerative,garber-2001,0.14482467584011596,$C=25$,0.024719162844121456,0.3251656993345656,0.10080007979220758,0.6023282477410522
254e84a995e14571aa625db11a0d0031,SpectralClustering,garber-2001,0.09285825183903897,$C=26$,0.05202409066259861,0.3037499701710635,-0.1605042735319454,1.5993470443558233
29111aa2eb174fc686617cbe1eb28fb6,K-Means,alizadeh-2000-v2,0.8147059399925529,$C=2$,0.010608812794089317,0.723286848608901,0.1882414898783819,1.7475294104992982
2bb9ad149743461c817a535d129a888b,Single Agglomerative,coil-20,0.00015398762764458262,$C=30$,0.9813073016703129,0.03871448490246974,0.14024466575738767,0.5801674823777607
3048c3eac5da48a3b48cdc6f114eaa31,HDBSCAN,coil-20,0.6772163838896517,$C_{\text{min}}=4$,2.172935063019395,0.8687685180377881,0.169877314618037,2.235885875753286
357859c0943a42f987433b2f1e9a0034,K-Means,coil-20,0.6554817356946984,$C=30$,0.07283799909055233,0.8075819621764334,0.21126261231964183,1.91025754009376
3fca75ace27a48708f6b0536b5e05c6b,SC-SRGF,coil-20,0.7759281067358669,$C=18$; $r=0.23$; $m=24$,22.408264061436057,0.9329935640729619,0.15015986923187052,2.2967555782775366
48a6513e01244c808d4b73e3e636672b,Proclus,coil-20,0.16690517550378883,$d=28$; $C=18$,3.331995502114296,0.46134006417398105,0.11464704344128117,3.3076629267681903
4e0efb677d464035ba86543081493448,Projective K-Means,coil-20,0.37177977665189244,$C=10$,553.0748806949705,0.6474991991253003,0.04461798153412876,3.7733601774262824
54b3942d000148c0a4f4699a65c5b6d0,Complete Agglomerative,coil-20,0.1776664459350186,$C=30$,0.35532405693084,0.5467812726625138,0.14546448065877138,1.415502596430153
550a47084d5141fbab4b6bf353282097,HDBSCAN,alizadeh-2000-v2,0.16592782008620496,$C_{\text{min}}=2$,0.02526190970093012,0.3496505894088831,-0.0716206499712712,2.2764499826877014
61f28cf9188c4fb9b1e4030ef17f49d8,Average Agglomerative,coil-20,0.08060467633890371,$C=30$,0.36451445426791906,0.38169180351733384,0.1736488240652463,0.8938979524952669
62fdb309f6be4356a3dcd3e1535da49b,SpectralClustering,alizadeh-2000-v2,0.08831793656416179,$C=30$,0.04835330601781607,0.3192895024974597,-0.14036204243523492,1.443845674123541
73d2d41994fa476cbc52c31c978bbd35,IRFLLRR,alizadeh-2000-v2,0.07957986890395015,$C=8$; $\lambda=1$; $\alpha=4$; $c=0.10$; $p=0.95$,2.8379306104034185,0.2583388372995455,-0.07255552811827873,3.8397661067792983
76932ef5998f4bbb947037990e91f529,MeanShift,garber-2001,0.016403560679812423,,2.8387025967240334,0.21023429001127197,0.14203511110284758,0.575625906086403
78a32c59c8754ddc9cc984bb29983ec7,DBSCAN,garber-2001,0.04345887217740301,$\epsilon=77.80$; $n_{\text{min}}=5$,0.019955044612288475,0.06937632885336181,0.1669800042805579,3.6373227552419856
7e091a2b9cfb4436a97fa5f6091e7a6c,Proclus,alizadeh-2000-v2,0.4460096447658744,$d=21$; $C=2$,0.033394730649888515,0.43232828518293986,0.13155501912913894,2.6636920179608707
809d7740da164b2f9d3eff4e59d6d7b6,Affinity Propagation,garber-2001,0.07537971990453814,$\lambda=0.80$,0.02162508200854063,0.2478927200149276,0.055574774389454774,1.044427993176285
87e798a14e624134bbfaa88507ae33f4,Average Agglomerative,garber-2001,0.14605038309759896,$C=26$,0.019162461161613464,0.31982768743781337,0.08031249183499414,0.6378470031964117
8d7d56239de1414d97b89cbc9b888138,Affinity Propagation,coil-20,0.4073189485897126,$\lambda=0.51$,3.6149881668388844,0.743885090650763,0.22792035569359098,1.362811719423591
91d112b757c240fd9c71b9bc17349e31,Ward's Method,alizadeh-2000-v2,0.9471277300097525,$C=3$,0.011247901245951653,0.9254334312819329,0.1075526424555019,1.990106092350965
92ce56357c0c4304b12e104d0fb4fba8,Ward's Method,coil-20,0.719345110218351,$C=24$,0.3539655013009906,0.845801125517144,0.20282188813672608,1.9238786205660812
96001951194b4737ac958525994d9927,Clique,alizadeh-2000-v2,0.0,$\tau=0.50$; $P=100$,0.13082798570394516,0.0,-1.0,1000.0
98e8366534ef46588baf8a288218b6cf,DBSCAN,alizadeh-2000-v2,0.25018944933579484,$\epsilon=39.56$; $n_{\text{min}}=2$,0.009145272895693779,0.40663717296211366,-0.07750224700092499,2.374350224353113
9a17e74ce6df48548947c3ff1aee0e67,Clique,garber-2001,0.061668556146088224,$\tau=0.41$; $P=23$,0.25586034706793725,0.14251255820924147,-0.013309263522482807,2.7402841710477173
9bc6ef4c9f7144a28dea55c9ca3065ad,OPTICS,alizadeh-2000-v2,0.3949979912849221,$n_{\text{min}}=2$,0.04954570811241865,0.4504112281365785,-0.06493845366884958,1.8471796032903227
a0dce9f8d6194ea29c2ddd056c8dd5bf,CoHiRF,alizadeh-2000-v2,0.8306733331766323,$C=2$; $q=30$; $R=3$,0.016346457414329052,0.7565019996354967,0.1751412746018062,1.8520914586451966
a4b7d37a5053498b808baf7eb237f212,Projective K-Means,alizadeh-2000-v2,0.11738474918319583,$C=2$,0.23526980727910995,0.20225285951911015,0.05400108600304859,3.9834948285463114
a6590a8872a84e55b7d58c9c0f7667f3,Complete Agglomerative,garber-2001,0.28330570101133395,$C=14$,0.018732313998043537,0.35760572093780746,0.08481290096309778,1.1703834842334595
a8b86613280a4b6d96e315851fe5c45a,Average Agglomerative,alizadeh-2000-v2,0.8095906181508171,$C=4$,0.019119281321763992,0.7707638599529745,0.1656776706262497,1.2166228815085212
aa2e50c0a5ae4e2cbca9f15fb9753c6b,Single Agglomerative,alizadeh-2000-v2,-0.021907836000274707,$C=2$,0.011437070555984974,0.013595121399000444,0.2680143484786016,0.5801835414003349
abb99feb2f38453c8802f9c8a5a6d1e1,OPTICS,coil-20,0.09245670275576821,$n_{\text{min}}=8$,5.224758160300553,0.5608984783527959,-0.08676313223468318,1.6819175486626308
af913d5b4f7e42be98ee14dfe82bf3f3,MeanShift,coil-20,7.696256205826628e-05,,30.971587911248207,0.025484922452586444,0.1817417529845949,0.9327712675815099
afbaad5724bd4d28aa6a723ebdc87e03,CoHiRF,coil-20,0.46420116683516344,$C=10$; $q=8$; $R=7$,0.5135518684983253,0.7488163180500202,0.1469965948931945,1.3452383609677696
bc305533dc5e4acaa3c2f5db6457abdc,SC-SRGF,garber-2001,0.17528586013745004,$C=4$; $r=0.76$; $m=21$,0.16210695449262857,0.2511126231779632,0.00786258542480192,3.5664645746327683
bc55920b4fdc4ba187b4683160fc5921,Affinity Propagation,alizadeh-2000-v2,0.362816327826378,$\lambda=0.86$,0.011788450181484222,0.6312281514450008,0.08326838759571385,2.023095910237943
bf190180e85045a18d12755519c59b46,IRFLLRR,garber-2001,-0.015035779419711853,$C=8$; $\lambda=1$; $\alpha=4$; $c=0.10$; $p=0.95$,6.606879632920027,0.14661418145985194,-0.15989779820695793,3.7344266221285096
cf60c7a72f5b47ad94b7e200c7300d84,CoHiRF,garber-2001,0.2980845706378107,$C=2$; $q=18$; $R=10$,0.12805783655494452,0.32575404133492913,-0.00458783989986123,2.290800937789162
db4d35945b1b4064a85ef9c6c534906c,MeanShift,alizadeh-2000-v2,-0.042739736510126476,,2.352131448686123,0.025240983830745026,0.1617825800849171,0.6650616358681294
ddf815511006417099b1277136c423dd,K-Means,garber-2001,0.18816663084910248,$C=3$,0.021952196955680847,0.19170824207202353,0.10971518669367632,2.2707537802002897
f1b08809c2fa41c0a10b2e67b198af2c,Ward's Method,garber-2001,0.19997897032883144,$C=13$,0.020971997641026974,0.34980909426349155,0.03223173419946796,1.5038591409071065
f23635d39fa14f96a5717b1e9e2e1123,OPTICS,garber-2001,0.06767736756576843,$n_{\text{min}}=9$,0.11964691709727049,0.06503015855461385,0.10413777281854986,3.6155823253511827
fb91ce25f00c40de8d765846d99d880c,Projective K-Means,garber-2001,0.11465179859447133,$C=7$,21.086727301590145,0.12292243179166147,-0.005664023567625963,3.2804782365861653
